cohort,seed,arm,stage,metric,value,unit
cohort 1,12409,lowrank_ssr,4,new_miou,27.90723026915603,percent
cohort 1,12409,lowrank_ssr,4,old_boundary_iou,25.825485352808553,percent
cohort 1,12409,lowrank_ssr,4,old_boundary_margin,2.4458088874816895,logit
cohort 1,12409,lowrank_ssr,4,old_miou,47.52836760532869,percent
cohort 1,12409,lowrank_ssr,5,all_miou,45.834234103633875,percent
cohort 1,12409,lowrank_ssr,5,new_miou,66.7475243237329,percent
cohort 1,12409,lowrank_ssr,5,old_boundary_iou,21.92865538170992,percent
cohort 1,12409,lowrank_ssr,5,old_boundary_margin,1.7456918954849243,logit
cohort 1,12409,lowrank_ssr,5,old_miou,43.295886848126806,percent
cohort 1,12409,lowrank_ssr,6,all_miou,38.114324013542436,percent
cohort 1,12409,lowrank_ssr,6,new_miou,7.373812564157564,percent
cohort 1,12409,lowrank_ssr,6,old_boundary_iou,23.61335657175117,percent
cohort 1,12409,lowrank_ssr,6,old_boundary_margin,8.018437385559082,logit
cohort 1,12409,lowrank_ssr,6,old_miou,39.377117722548114,percent
cohort 1,12409,lowrank_ssr,7,all_miou,32.241891216737855,percent
cohort 1,12409,lowrank_ssr,7,new_miou,8.397501869489481,percent
cohort 1,12409,lowrank_ssr,7,old_boundary_iou,15.939759072172881,percent
cohort 1,12409,lowrank_ssr,7,old_boundary_margin,5.336105823516846,logit
