dataset,rank,seed,edits,metric,unit,baseline,ssr,delta
WikiRecent,32,17640,25,near_row_cosine,dimensionless,0.00014546232837022084,0.2657366804113345,0.2655912180829643
WikiRecent,32,17631,25,surround_row_cosine,dimensionless,0.001803810908963247,-0.0013915885205538611,-0.0031953994295171083
WikiRecent,32,17633,25,surround_row_cosine,dimensionless,0.005231801223999355,-0.0001199297008237666,-0.005351730924823122
WikiRecent,32,17637,25,surround_row_cosine,dimensionless,0.0037467286692844937,0.0016624233639309489,-0.002084305305353545
WikiRecent,32,17638,25,surround_row_cosine,dimensionless,0.002570496049104674,0.00035005624593915333,-0.002220439803165521
WikiRecent,32,17640,25,surround_row_cosine,dimensionless,0.0005528052125945189,0.0014065870959711901,0.0008537818833766713
WikiRecent,32,17631,50,immediate_efficacy,percent,54.0,57.99999999999999,3.999999999999993
WikiRecent,32,17633,50,immediate_efficacy,percent,54.0,57.99999999999999,3.999999999999993
WikiRecent,32,17637,50,immediate_efficacy,percent,70.0,84.0,14.0
WikiRecent,32,17638,50,immediate_efficacy,percent,57.99999999999999,66.0,8.000000000000007
WikiRecent,32,17640,50,immediate_efficacy,percent,46.0,76.0,30.0
WikiRecent,32,17631,50,immediate_locality_target_consistency,percent,10.099206349206348,12.69920634920635,2.6000000000000014
WikiRecent,32,17633,50,immediate_locality_target_consistency,percent,7.9863858363858355,11.915873015873016,3.9294871794871806
WikiRecent,32,17637,50,immediate_locality_target_consistency,percent,7.795115995115996,9.006227106227106,1.2111111111111104
WikiRecent,32,17638,50,immediate_locality_target_consistency,percent,8.558802308802308,12.408802308802308,3.8499999999999996
WikiRecent,32,17640,50,immediate_locality_target_consistency,percent,11.469047619047624,14.902380952380955,3.433333333333332
WikiRecent,32,17631,50,history_efficacy,percent,2.0,2.0,0.0
WikiRecent,32,17633,50,history_efficacy,percent,4.0,4.0,0.0
WikiRecent,32,17637,50,history_efficacy,percent,0.0,0.0,0.0
WikiRecent,32,17638,50,history_efficacy,percent,0.0,0.0,0.0
WikiRecent,32,17640,50,history_efficacy,percent,2.0,2.0,0.0
WikiRecent,32,17631,50,pre_edit_output_consistency,percent,39.18426353484392,39.183372259140015,-0.0008912757039070129
WikiRecent,32,17633,50,pre_edit_output_consistency,percent,36.26030161976814,36.24255061149597,-0.01775100827217102
WikiRecent,32,17637,50,pre_edit_output_consistency,percent,37.78648264706135,37.47670743614435,-0.309775210916996
